A - Cars,A - Houses,A - Trees,B - Cars,B - Houses,B - Trees,C - Cars,C - Houses,C - Trees,A Reputation,B Reputation,C Reputation;;;;;;;;;;;;;;;;;
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0;;;;;;;;;;;;;;0,1,0,0,0,0,0,0,7,25.0,25.0,75.0;;;
0,0,0,0,0,0,0,0,7,0.0,75.0,75.0;;;;;;;;;;;;;;;;;
0,0,0,0,0,0,0,0,7,0.0,75.0,100;;;;;;;;;;;;;;;;;
0,0,0,0,0,0,0,0,0,0.0,100,0.0;;;;;;;;;;;;;;;;;
0,0,0,0,0,0,0,0,7,0.0,100,25.0;;;;;;;;;;;;;;;;;
0,0,0,0,0,0,0,0,7,0.0,100,50.0;;;;;;;;;;;;;;;;;
0,0,0,0,0,0,0,0,7,0.0,100,75.0;;;;;;;;;;;;;;;;;
0,0,0,0,0,0,0,0,7,0.0,100,100;;;;;;;;;;;;;;;;;
0,1,0,0,0,0,0,0,0,25.0,0.0,0.0;;;;;;;;;;;;;;;;;
0,1,0,0,0,0,0,0,7,25.0,0.0,25.0;;;;;;;;;;;;;;;;;
0,1,0,0,0,0,0,0,7,25.0,0.0,50.0;;;;;;;;;;;;;;;;;
0,1,0,0,0,0,0,0,7,25.0,0.0,75.0;;;;;;;;;;;;;;;;;
0,1,0,0,0,0,0,0,7,25.0,0.0,100;;;;;;;;;;;;;;;;;
0,1,0,0,0,0,0,0,0,25.0,25.0,0.0;;;;;;;;;;;;;;;;;
0,1,0,0,0,0,0,0,7,25.0,25.0,25.0;;;;;;;;;;;;;;;;;
0,1,0,0,0,0,0,0,7,25.0,25.0,50.0;;;;;;;;;;;;;;;;;
0,1,0,0,0,0,0,0,7,25.0,25.0,75.0;;;;;;;;;;;;;;;;;
0,1,0,0,0,0,0,0,7,25.0,25.0,100;;;;;;;;;;;;;;;;;
0,1,0,0,0,0,0,0,0,25.0,50.0,0.0;;;;;;;;;;;;;;;;;
0,1,0,0,0,0,0,0,7,25.0,50.0,25.0;;;;;;;;;;;;;;;;;
0,1,0,0,0,0,0,0,7,25.0,50.0,50.0;;;;;;;;;;;;;;;;;
0,1,0,0,0,0,0,0,7,25.0,50.0,75.0;;;;;;;;;;;;;;;;;
0,1,0,0,0,0,0,0,7,25.0,50.0,100;;;;;;;;;;;;;;;;;
0,1,0,0,0,0,0,0,0,25.0,75.0,0.0;;;;;;;;;;;;;;;;;
0,1,0,0,0,0,0,0,7,25.0,75.0,25.0;;;;;;;;;;;;;;;;;
0,1,0,0,0,0,0,0,7,25.0,75.0,50.0;;;;;;;;;;;;;;;;;
0,1,0,0,0,0,0,0,7,25.0,75.0,75.0;;;;;;;;;;;;;;;;;
0,1,0,0,0,0,0,0,7,25.0,75.0,100;;;;;;;;;;;;;;;;;
0,1,0,0,0,0,0,0,0,25.0,100,0.0;;;;;;;;;;;;;;;;;
0,1,0,0,0,0,0,0,7,25.0,100,25.0;;;;;;;;;;;;;;;;;
0,1,0,0,0,0,0,0,7,25.0,100,50.0;;;;;;;;;;;;;;;;;
0,1,0,0,0,0,0,0,7,25.0,100,75.0;;;;;;;;;;;;;;;;;
0,1,0,0,0,0,0,0,7,25.0,100,100;;;;;;;;;;;;;;;;;
0,1,0,0,0,0,0,0,0,50.0,0.0,0.0;;;;;;;;;;;;;;;;;
0,1,0,0,0,0,0,0,7,50.0,0.0,25.0;;;;;;;;;;;;;;;;;
0,1,0,0,0,0,0,0,7,50.0,0.0,50.0;;;;;;;;;;;;;;;;;
0,1,0,0,0,0,0,0,7,50.0,0.0,75.0;;;;;;;;;;;;;;;;;
0,1,0,0,0,0,0,0,7,50.0,0.0,100;;;;;;;;;;;;;;;;;
0,1,0,0,0,0,0,0,0,50.0,25.0,0.0;;;;;;;;;;;;;;;;;
